endpoint,batch_size,panel_id,panel_id_for_output,rescue_mode,gene,panel_rank,original_panel_rank,candidate_panel_rank,gain,gain_share,gain_nonzero
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,AGBL2,10,12.0,12,14.097909927368164,0.0818418380609659,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RNF141,4,5.0,5,13.579715728759766,0.0788335931576338,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,IQCC,6,7.0,7,11.054216384887695,0.0641724476836508,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,MYO15B,27,,36,10.972341537475586,0.0636971440366783,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,LOXL2,30,,40,10.953570365905762,0.0635881727642168,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,DDX5,15,18.0,18,10.906209945678713,0.0633132338645721,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CCDC65,14,17.0,17,10.657291412353516,0.0618682004943967,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,SPATA17,5,6.0,6,10.014836311340332,0.0581385904593311,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PCMT1,7,7.0,7,18.729888916015625,0.078372854482217,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,AK7,4,4.0,4,18.687175750732425,0.0781941266369946,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CYP24A1,3,3.0,3,18.12052345275879,0.0758230416673914,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,KDELR2,28,30.0,30,16.534137725830078,0.0691850109622046,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,NSA2,1,1.0,1,15.871902465820312,0.0664139711606092,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,LTA4H,8,8.0,8,14.568021774291992,0.0609580470941327,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CD24,13,14.0,14,14.213154792785645,0.0594731510316495,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CPNE2,10,10.0,10,14.129082679748535,0.0591213618934109,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,PGK1,2,2.0,2,21.318071365356445,0.0824319328503914,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,SAV1,24,25.0,25,21.242809295654297,0.0821409122524423,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,VSIG8,28,30.0,30,20.33816337585449,0.0786428607431719,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,LRP11,6,6.0,6,18.179162979125977,0.0702945175616067,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,DACT2,18,19.0,19,17.560728073120117,0.0679031762544818,True
